"Event Date",Host,"Unique ID","Alarm ID","Alarm Event ID",Chart,Family,Alarm,"Friendly Value","Friendly Old Value","Old Value",Value,Units,"Old Status",Status,"Last Duration","Raised Duration",Recipient,"Processed Status","Updated Status","Updated By ID","Updates ID",Script,"Script Run At","Script Return Value","Script Delay","Script Delay Run At",Description,"Alarm Source"
"2023/5/9 05:23:37",ubuntu,1535537946,1535250250,1737,system.entropy,entropy,"lowest entropy","202 entries","156 entries",156,202,entries,WARNING,CLEAR,"4 hours and 45 mins","4 hours and 45 mins",silent,DONE,UPDATED,1535537947,1535537945,/usr/libexec/netdata/plugins.d/alarm-notify.sh,"2023/5/9 06:23:37","FAILED (with code 1)","1 hour","2023/5/9 06:23:37","minimum entries in the random numbers pool in the last 10 minutes",6@/usr/lib/netdata/conf.d/health.d/entropy.conf
"2023/5/9 00:38:37",ubuntu,1535537945,1535250250,1736,system.entropy,entropy,"lowest entropy","88 entries","106 entries",106,88,entries,CLEAR,WARNING,"6 hours and 30 mins","no time",silent,DONE,UPDATED,1535537946,1535537944,/usr/libexec/netdata/plugins.d/alarm-notify.sh,"2023/5/9 00:38:37","FAILED (with code 1)","no time","2023/5/9 00:38:37","minimum entries in the random numbers pool in the last 10 minutes",6@/usr/lib/netdata/conf.d/health.d/entropy.conf
"2023/5/8 18:08:37",ubuntu,1535537944,1535250250,1735,system.entropy,entropy,"lowest entropy","233 entries","137 entries",137,233,entries,WARNING,CLEAR,"20 mins","20 mins",silent,DONE,UPDATED,1535537945,1535537943,/usr/libexec/netdata/plugins.d/alarm-notify.sh,"2023/5/8 19:08:37","FAILED (with code 1)","1 hour","2023/5/8 19:08:37","minimum entries in the random numbers pool in the last 10 minutes",6@/usr/lib/netdata/conf.d/health.d/entropy.conf
"2023/5/8 17:48:37",ubuntu,1535537943,1535250250,1734,system.entropy,entropy,"lowest entropy","99 entries","105 entries",105,99,entries,CLEAR,WARNING,"6 hours and 25 mins","no time",silent,DONE,UPDATED,1535537944,1535537942,/usr/libexec/netdata/plugins.d/alarm-notify.sh,"2023/5/8 17:48:37","FAILED (with code 1)","no time","2023/5/8 17:48:37","minimum entries in the random numbers pool in the last 10 minutes",6@/usr/lib/netdata/conf.d/health.d/entropy.conf
"2023/5/8 11:23:37",ubuntu,1535537942,1535250250,1733,system.entropy,entropy,"lowest entropy","211 entries","176 entries",176,211,entries,WARNING,CLEAR,"11 hours","11 hours",silent,DONE,UPDATED,1535537943,1535537941,/usr/libexec/netdata/plugins.d/alarm-notify.sh,"2023/5/8 12:23:37","FAILED (with code 1)","1 hour","2023/5/8 12:23:37","minimum entries in the random numbers pool in the last 10 minutes",6@/usr/lib/netdata/conf.d/health.d/entropy.conf
"2023/5/8 00:23:37",ubuntu,1535537941,1535250250,1732,system.entropy,entropy,"lowest entropy","85 entries","120 entries",120,85,entries,CLEAR,WARNING,"5 hours and 30 mins","no time",silent,DONE,UPDATED,1535537942,1535537940,/usr/libexec/netdata/plugins.d/alarm-notify.sh,"2023/5/8 00:23:37","FAILED (with code 1)","no time","2023/5/8 00:23:37","minimum entries in the random numbers pool in the last 10 minutes",6@/usr/lib/netdata/conf.d/health.d/entropy.conf
"2023/5/7 18:53:37",ubuntu,1535537940,1535250250,1731,system.entropy,entropy,"lowest entropy","204 entries","128 entries",128,204,entries,WARNING,CLEAR,"3 hours and 5 mins","3 hours and 5 mins",silent,DONE,UPDATED,1535537941,1535537939,/usr/libexec/netdata/plugins.d/alarm-notify.sh,"2023/5/7 19:53:37","FAILED (with code 1)","1 hour","2023/5/7 19:53:37","minimum entries in the random numbers pool in the last 10 minutes",6@/usr/lib/netdata/conf.d/health.d/entropy.conf
"2023/5/7 15:48:37",ubuntu,1535537939,1535250250,1730,system.entropy,entropy,"lowest entropy","79 entries","119 entries",119,79,entries,CLEAR,WARNING,"1 hour and 35 mins","no time",silent,DONE,UPDATED,1535537940,1535537938,/usr/libexec/netdata/plugins.d/alarm-notify.sh,"2023/5/7 15:48:37","FAILED (with code 1)","no time","2023/5/7 15:48:37","minimum entries in the random numbers pool in the last 10 minutes",6@/usr/lib/netdata/conf.d/health.d/entropy.conf
"2023/5/7 14:13:37",ubuntu,1535537938,1535250250,1729,system.entropy,entropy,"lowest entropy","203 entries","197 entries",197,203,entries,WARNING,CLEAR,"4 hours and 15 mins","4 hours and 15 mins",silent,DONE,UPDATED,1535537939,1535537937,/usr/libexec/netdata/plugins.d/alarm-notify.sh,"2023/5/7 15:13:37","FAILED (with code 1)","1 hour","2023/5/7 15:13:37","minimum entries in the random numbers pool in the last 10 minutes",6@/usr/lib/netdata/conf.d/health.d/entropy.conf
"2023/5/7 09:58:37",ubuntu,1535537937,1535250250,1728,system.entropy,entropy,"lowest entropy","88 entries","101 entries",101,88,entries,CLEAR,WARNING,"16 hours and 25 mins","no time",silent,DONE,UPDATED,1535537938,1535537936,/usr/libexec/netdata/plugins.d/alarm-notify.sh,"2023/5/7 09:58:37","FAILED (with code 1)","no time","2023/5/7 09:58:37","minimum entries in the random numbers pool in the last 10 minutes",6@/usr/lib/netdata/conf.d/health.d/entropy.conf
"2023/5/6 17:33:37",ubuntu,1535537936,1535250250,1727,system.entropy,entropy,"lowest entropy","251 entries","117 entries",117,251,entries,WARNING,CLEAR,"15 mins","15 mins",silent,DONE,UPDATED,1535537937,1535537935,/usr/libexec/netdata/plugins.d/alarm-notify.sh,"2023/5/6 18:33:37","FAILED (with code 1)","1 hour","2023/5/6 18:33:37","minimum entries in the random numbers pool in the last 10 minutes",6@/usr/lib/netdata/conf.d/health.d/entropy.conf
"2023/5/6 17:18:37",ubuntu,1535537935,1535250250,1726,system.entropy,entropy,"lowest entropy","93 entries","103 entries",103,93,entries,CLEAR,WARNING,"2 hours and 20 mins","no time",silent,DONE,UPDATED,1535537936,1535537934,/usr/libexec/netdata/plugins.d/alarm-notify.sh,"2023/5/6 17:18:37","FAILED (with code 1)","no time","2023/5/6 17:18:37","minimum entries in the random numbers pool in the last 10 minutes",6@/usr/lib/netdata/conf.d/health.d/entropy.conf
"2023/5/6 14:58:37",ubuntu,1535537934,1535250250,1725,system.entropy,entropy,"lowest entropy","291 entries","128 entries",128,291,entries,WARNING,CLEAR,"4 hours and 10 mins","4 hours and 10 mins",silent,DONE,UPDATED,1535537935,1535537933,/usr/libexec/netdata/plugins.d/alarm-notify.sh,"2023/5/6 15:58:37","FAILED (with code 1)","1 hour","2023/5/6 15:58:37","minimum entries in the random numbers pool in the last 10 minutes",6@/usr/lib/netdata/conf.d/health.d/entropy.conf
"2023/5/6 10:48:37",ubuntu,1535537933,1535250250,1724,system.entropy,entropy,"lowest entropy","99 entries","110 entries",110,99,entries,CLEAR,WARNING,"3 hours","no time",silent,DONE,UPDATED,1535537934,1535537932,/usr/libexec/netdata/plugins.d/alarm-notify.sh,"2023/5/6 10:48:37","FAILED (with code 1)","no time","2023/5/6 10:48:37","minimum entries in the random numbers pool in the last 10 minutes",6@/usr/lib/netdata/conf.d/health.d/entropy.conf
"2023/5/6 07:48:37",ubuntu,1535537932,1535250250,1723,system.entropy,entropy,"lowest entropy","360 entries","157 entries",157,360,entries,WARNING,CLEAR,"20 mins","20 mins",silent,DONE,UPDATED,1535537933,1535537931,/usr/libexec/netdata/plugins.d/alarm-notify.sh,"2023/5/6 08:48:37","FAILED (with code 1)","1 hour","2023/5/6 08:48:37","minimum entries in the random numbers pool in the last 10 minutes",6@/usr/lib/netdata/conf.d/health.d/entropy.conf
